sector.technology|Technologie
upgrade.testimonials.title|Ce que disent nos membres VIP
upgrade.roi.title|ROI Garanti
upgrade.roi.description|Nos membres VIP génèrent en moyenne <span class="font-bold text-yellow-300">15 000€</span> de nouvelles opportunités commerciales lors du salon. Investissez 300€, récoltez des milliers.
upgrade.roi.cta|Devenir VIP Maintenant
upgrade.faq.title|Questions fréquentes
upgrade.faq.q1|Quels moyens de paiement acceptez-vous ?
upgrade.faq.a1|Cartes bancaires (Visa, Mastercard), PayPal, et cartes marocaines (CMI).
upgrade.faq.q2|L\
upgrade.faq.a2|Oui ! Votre compte est activé instantanément et vous recevez votre badge VIP par email.
upgrade.faq.q3|Puis-je annuler après paiement ?
upgrade.faq.a3|Remboursement complet possible jusqu\
users.title|Gestion des Utilisateurs
users.total|Total des Utilisateurs
users.active|Utilisateurs Actifs
users.search|Rechercher des utilisateurs
users.filter|Filtrer par type
users.status|Statut
users.action|Actions
users.delete|Supprimer
partner_detail.about|À Propos
partner_detail.projects|Projets
partner_detail.contact_info|Informations de Contact
partner_detail.request_meeting|Demander une Réunion
partner_detail.back|Retour
product_detail.specifications|Spécifications
product_detail.price|Prix
product_detail.availability|Disponibilité
product_detail.request_demo|Demander une Démo
product_detail.contact_supplier|Contacter le Fournisseur
password.reset_title|Réinitialiser le Mot de Passe
password.reset_description|Entrez votre nouveau mot de passe
password.new_password|Nouveau Mot de Passe
password.confirm|Confirmer
password.error|Erreur lors de la réinitialisation
auth.forgotten_password|Mot de passe oublié
auth.forgotten_password_desc|Entrez votre adresse email et nous vous enverrons un lien pour réinitialiser votre mot de passe.
auth.email_placeholder|votre@email.com
auth.send_reset_link|Envoyer le lien
auth.go_login|Aller à la page de connexion
common.error_401|401 - Accès non autorisé
common.error_401_desc|Veuillez vous connecter pour accéder à cette page.
common.error_403|403 - Accès interdit
common.error_403_desc|Vous n\
common.back_dashboard|Retour au tableau de bord
common.sending|Envoi...
ui.sync_official|Synchroniser avec le site officiel
ui.share_article|Partager cet article
ui.back_to_top|Retour en haut
ui.search_by|Rechercher par...
admin_media.create_title_example|Ex: Interview Innovation BTP
admin_media.create_description_placeholder|Décrivez le contenu du média...
admin_media.duration_example|120
admin_media.tags_example|Ex: Innovation, Tech, Interview
admin_media.manager_title|Gestionnaire de Médias
accommodation.badge|Hébergement Sponsors
accommodation.hotels_partners|Hôtels sponsors
accommodation.vip_discount|Réduction VIP
accommodation.april_dates|Novembre 2026
accommodation.vip_advantage_title|🌟 Avantage Visiteurs VIP
accommodation.vip_advantage_desc|En tant que visiteur VIP, bénéficiez de tarifs préférentiels exclusifs sur tous nos hôtels sponsors
accommodation.vip_benefit_1|Jusqu\
accommodation.vip_benefit_2|Réservation prioritaire garantie
accommodation.vip_benefit_3|Surclassement gratuit selon disponibilité
accommodation.featured_partner|⭐ Sponsor Premium
accommodation.standard_rate|Tarif Standard
accommodation.vip_rate|Tarif VIP
accommodation.amenity_wifi|WiFi Gratuit
accommodation.amenity_parking|Parking
accommodation.amenity_pool|Piscine
accommodation.amenity_spa|Spa
accommodation.amenity_restaurant|Restaurant
accommodation.amenity_gym|Salle de sport
accommodation.amenity_casino|Casino
accommodation.amenity_beach|Accès plage
accommodation.amenity_golf|Golf
accommodation.amenity_bar|Bar
accommodation.amenity_terrace|Terrasse
security.title|Sécurité
security.two_factor|Authentification à deux facteurs
security.enable_2fa|Activer 2FA
security.disable_2fa|Désactiver 2FA
security.totp|Application d\
security.sms|SMS
security.email|Email
security.backup_codes|Codes de secours
security.password|Mot de passe
security.change_password|Changer le mot de passe
security.change_password_desc|Modifiez votre mot de passe temporaire pour sécuriser votre compte.
security.current_password|Mot de passe actuel
security.new_password|Nouveau mot de passe
security.confirm_password|Confirmer le nouveau mot de passe
security.new_password_placeholder|Minimum 8 caractères
security.confirm_password_placeholder|Retapez le nouveau mot de passe
security.password_requirements|Minimum 8 caractères. Utilisez des lettres, chiffres et symboles.
security.change_password_btn|Mettre à jour le mot de passe
security.password_changed|Mot de passe modifié avec succès !
security.passwords_mismatch|Les mots de passe ne correspondent pas.
security.password_too_short|Le mot de passe doit contenir au moins 8 caractères.
security.current_password_wrong|Le mot de passe actuel est incorrect.
security.fields_required|Tous les champs sont obligatoires.
security.sessions|Sessions actives
security.api_keys|Clés API
security.audit_logs|Journaux d\
notifications.title|Notifications
notifications.mark_all_read|Tout marquer comme lu
notifications.no_notifications|Aucune notification
notifications.new|Nouveau
notifications.unread|Non lu
notifications.settings|Paramètres de notification
notifications.email_notifications|Notifications par email
notifications.push_notifications|Notifications push
notifications.sms_notifications|Notifications SMS
notifications.preferences|Préférences
analytics.pageviews|Pages vues
analytics.conversions|Conversions
analytics.export|Exporter
analytics.week|Cette semaine
analytics.month|Ce mois
analytics.year|Cette année
analytics.custom|Personnalisé
payments.title|Paiements
payments.methods|Méthodes de paiement
payments.history|Historique
payments.invoices|Factures
payments.refunds|Remboursements
payments.pending|En attente
payments.completed|Complété
payments.failed|Échoué
payments.amount|Montant
payments.date|Date
payments.status|Statut
payments.download_invoice|Télécharger la facture
partner.activity.title|Activité du Sponsor
partner.activity.connection_established|Connexion établie
partner.activity.connected_with|Connecté avec
partner.activity.new_message|Nouveau message
partner.activity.event_participation|Participation à un événement
partner.activity.stand_visit|Visite de stand
partner.activity.product_inquiry|Enquête produit
partner.activity.meeting_scheduled|Réunion programmée
partner.activity.meeting_confirmed|Réunion confirmée
partner.activity.meeting_completed|Réunion complétée
partner.activity.meeting_cancelled|Réunion annulée
partner.activity.lead_generated|Prospect généré
partner.activity.download|Télécharger les ressources
partner.activity.brochure_request|Demande de brochure
partner.activity.contact_request|Demande de contact
partner.activity.quote_request|Demande de devis
partner.activity.demo_request|Demande de démo
partner.activity.partnership_interest|Intérêt pour partenariat
partner.activity.event_interest|Intérêt pour événement
partner.activity.network_join|Rejoindre le réseau
partner.activity.filter_all|Tous
partner.activity.filter_connections|Connexions
partner.activity.filter_messages|Messages
partner.activity.filter_meetings|Réunions
partner.activity.filter_inquiries|Demandes
partner.activity.timestamp_today|Aujourd\
partner.activity.timestamp_yesterday|Hier
partner.activity.timestamp_this_week|Cette semaine
partner.activity.timestamp_this_month|Ce mois
partner.activity.total_connections|Connexions totales
partner.activity.total_messages|Messages totaux
partner.activity.total_meetings|Réunions totales
partner.leads.title|Gestion des Prospects
partner.leads.overview|Vue d\
partner.leads.total_leads|Prospects totaux
partner.leads.new_leads|Nouveaux prospects
partner.leads.qualified_leads|Prospects qualifiés
partner.leads.contacted|Contactés
partner.leads.converted|Convertis
partner.leads.source_event|Source: Événement
partner.leads.source_website|Source: Site web
partner.leads.source_email|Source: Email
partner.leads.source_referral|Source: Recommandation
partner.leads.source_other|Source: Autre
partner.leads.stage_new|Étape: Nouveau
partner.leads.stage_contacted|Étape: Contacté
partner.leads.stage_qualified|Étape: Qualifié
partner.leads.stage_proposal|Étape: Proposition
partner.leads.stage_negotiation|Étape: Négociation
partner.leads.stage_won|Étape: Gagné
partner.leads.stage_lost|Étape: Perdu
partner.leads.quality_high|Qualité: Haute
partner.leads.quality_medium|Qualité: Moyenne
partner.leads.quality_low|Qualité: Basse
partner.leads.tip_follow_up|Conseil: Effectuez un suivi 48h après le contact initial
partner.leads.tip_personalize|Conseil: Personnalisez chaque approche de prospect
partner.leads.tip_document|Conseil: Documentez toutes les interactions
partner.leads.tip_timing|Conseil: Le timing est clé pour la conversion
partner.leads.tip_interests|Conseil: Identifiez les intérêts spécifiques du prospect
partner.events.title|Gestion des Événements
partner.events.overview|Vue d\
partner.events.upcoming|Événements à venir
partner.events.past|Événements passés
partner.events.registered|Événements inscrits
partner.events.status_scheduled|Statut: Programmé
partner.events.status_ongoing|Statut: En cours
partner.events.status_completed|Statut: Complété
partner.events.status_cancelled|Statut: Annulé
partner.events.registration_open|Inscription ouverte
partner.events.registration_closed|Inscription fermée
partner.events.capacity|Capacité
partner.events.attendees|Participants
partner.events.program|Programme
partner.events.speakers|Conférenciers
partner.events.location|Localisation
partner.events.date_time|Date et Heure
networking.matchmaking_title|Appariement de Réseau
networking.compatibility_level_excellent|Excellent
networking.compatibility_level_good|Bon
networking.compatibility_level_fair|Acceptable
networking.compatibility_level_poor|Faible
partner.activity.message_from|{name} vous a envoyé un message
partner.activity.participated_in|Vous avez participé à {event}
partner.activity.sponsoring_activated|Sponsoring activé
partner.activity.logo_displayed|Votre logo est maintenant affiché sur {page}
partner.activity.profile_viewed|Profil consulté
partner.activity.views_today|Votre profil a été consulté {count} fois aujourd\
partner.activity.content_shared|Contenu partagé
partner.activity.article_shared|Votre article "{title}" a été partagé
partner.activity.system_alert|Alerte système
partner.activity.metrics_update|Mise à jour de vos métriques de performance disponible
partner.activity.just_now|À l\
partner.activity.hours_ago|Il y a {n}h
partner.activity.days_ago|Il y a {n}j
partner.activity.type.connection|Connexion
partner.activity.type.message|Message
partner.activity.type.event|Événement
partner.activity.type.sponsorship|Sponsoring
partner.activity.type.consultation|Consultation
partner.activity.type.content|Contenu
partner.activity.type.alert|Alerte
partner.activity.type.meeting|Rendez-vous
partner.activity.filter.all|Toutes les activités
partner.activity.filter.networking|Réseautage
partner.activity.filter.communication|Communication
partner.activity.filter.events|Événements
partner.activity.filter.sponsorship|Sponsoring
partner.activity.filter.engagement|Engagement
partner.activity.filter.content|Contenu
partner.activity.filter.meetings|Rendez-vous
partner.activity.filter.system|Système
partner.activity.full_history|Historique Complet des Activités
partner.activity.realtime|Temps Réel
partner.activity.stats.total|Activités totales
partner.activity.stats.today|Aujourd\
partner.activity.stats.this_week|Cette semaine
partner.activity.history|Historique des Activités
partner.activity.no_activity|Aucune activité trouvée
partner.activity.try_filters|Essayez de modifier vos filtres de recherche
partner.leads.exhibitor|Exposant
partner.leads.visitor|Visiteur
partner.leads.other|Autre
partner.leads.connected|Connecté
partner.leads.pending|En attente
partner.leads.rejected|Rejeté
partner.leads.active_followup|Suivi actif
partner.leads.awaiting_response|En attente de réponse
partner.leads.sources.events|Événements SIB
partner.leads.sources.networking|Networking Sponsors
partner.leads.sources.referrals|Références Clients
partner.leads.sources.marketing|Campagnes Marketing
partner.leads.funnel.generated|Leads Générés
partner.leads.funnel.qualified|Qualifiés
partner.leads.funnel.proposal|Proposition
partner.leads.funnel.negotiation|Négociation
partner.leads.funnel.conversion|Conversion
partner.leads.subtitle|Gérez vos leads qualifiés et suivez leur progression dans le pipeline commercial
partner.leads.premium_program|Programme Leads Premium
partner.leads.conversion_rate|12% Taux de Conversion
partner.leads.generated|Leads générés
partner.leads.qualified|Leads qualifiés
partner.leads.conversion|Taux de conversion
partner.leads.estimated_value|Valeur estimée
partner.leads.recent|Leads Récents
partner.leads.tips.title|Conseils de Gestion des Leads
partner.leads.tips.qualification|Qualification Rapide
partner.leads.tips.qualification_desc|Contactez les leads chauds dans les 24h pour maximiser vos chances de conversion
partner.leads.tips.followup|Suivi Régulier
partner.leads.tips.followup_desc|Planifiez des points de suivi hebdomadaires pour maintenir l\
partner.leads.tips.personalization|Personnalisation
partner.leads.tips.personalization_desc|Adaptez vos propositions aux besoins spécifiques de chaque prospect
partner.leads.tips.measure|Mesure des Résultats
partner.leads.tips.measure_desc|Analysez régulièrement vos taux de conversion pour optimiser votre approche
partner.status.upcoming|À venir
partner.status.draft|Brouillon
partner.events.available|Événements disponibles
partner.events.loading|Chargement des événements...
partner.events.none|Aucun événement disponible pour le moment.
partner.priority|Prioritaire
visitor.premium_feature|Fonctionnalité Premium
networking.ai_reserved_premium|Réservé aux comptes Premium/VIP
visitor.upgrade_level|Améliorer mon niveau
networking.excellent_match|Excellent
networking.good_match|Bon
networking.potential_match|Potentiel
networking.low_match|Faible
nav.my_account|Mon compte
nav.my_profile|Mon Profil
nav.admin_profile|Mon Profil Admin
nav.admin_dashboard|Tableau de Bord Admin
nav.payment_validation|Validation Paiements
nav.metrics|Métriques & Performance
nav.qr_scanner|Scanner QR (Sécurité)
nav.badge_print|Impression Badges (Service Clientèle)
nav.digital_badge|Mon Badge Digital
nav.admin_zone|Zone Administrateur
nav.exhibitor_dashboard|Tableau de Bord Exposant
nav.b2b_networking|Réseautage B2B
nav.minisite_editor|Éditeur de Mini-Site
nav.my_slots|Mes Créneaux RDV
nav.messages|Messages & Contact
nav.partner_dashboard|Tableau de Bord Sponsor
nav.vip_networking|Networking VIP
nav.partner_subscription|Abonnement Sponsor
nav.visitor_dashboard|Tableau de Bord Visiteur
nav.visitor_settings|Paramètres Visiteur
nav.my_appointments|Mes Rendez-vous
footer.navigation|Navigation
footer.nav_home|Accueil
footer.nav_exhibitors_catalog|Catalogue Exposants
footer.nav_networking|Réseautage B2B
footer.nav_conferences|Conférences
footer.nav_news|Actualités
footer.media_platform|Plateforme Média
footer.strategic_contact|Contact Stratégique
exhibitors.catalog_label|SIB 2026 • Catalogue Exposants
exhibitors.leaders_count|leaders de l\
exhibitors.filters|Filtres
exhibitors.all_sectors|Tous les secteurs
exhibitors.select_max|Sélectionnez au maximum {{max}}
exhibitors.no_results_desc|Aucun exposant ne correspond à vos critères actuels. Essayez d\
exhibitors.reset_search|Réinitialiser la recherche
home.about_sibs|À propos du SIB
home.discover_exhibitors_btn|Découvrir les Exposants
home.see_partners_btn|Voir les Sponsors
home.discover_all_partners_subtitle|Découvrez tous les sponsors officiels du salon
home.no_partners_available|Aucun sponsor disponible pour le moment
home.discover_all_exhibitors_subtitle|Découvrez tous les exposants participants au salon
contact.select_subject|Sélectionnez un sujet
contact.subject_exhibitor|Devenir exposant
contact.subject_visitor|S\
contact.subject_partnership|Partenariat
contact.subject_support|Support technique
contact.subject_other|Autre
contact.sending|Envoi en cours...
contact.weekdays|Lundi - Vendredi
contact.saturday|Samedi
contact.sunday|Dimanche
contact.closed|Fermé
contact.contact_info|Informations de contact
contact.opening_hours|Horaires d\
contact.follow_us|Suivez-nous
contact.follow_us_desc|Restez informé des dernières actualités de SIB 2026
contact.characters|caractères
contact.required_fields|Veuillez remplir tous les champs obligatoires
contact.invalid_email|Veuillez entrer une adresse email valide
contact.message_too_short|Le message doit contenir au moins 10 caractères
about.title|SIB 2026 — Le rendez-vous incontournable du monde bâtiment
about.dates|25-29 Novembre
about.location_city|El Jadida
about.location_country|Maroc 🇲🇦
services.need_help|Besoin d\
services.help_desc|Nos équipes commerciales sont disponibles pour vous aider
services.send_message|Envoyer un message
services.whatsapp_desc|Contactez-nous directement par message
services.send_email|Envoyer un email
services.email_desc|Envoyez un email à notre équipe
services.phone|Téléphone
services.phone_desc|Appelez-nous directement
services.call_now|Appeler maintenant
services.hours|Horaires
services.hours_desc|Nous sommes disponibles:<br />Lundi - Vendredi: 9h-18h
services.timezone|Fuseau horaire: GMT+1
services.ready_to_chat|Prêt à discuter avec notre équipe ?
services.whatsapp_cta|Démarrer une conversation WhatsApp
services.whatsapp_fast|Utilisez WhatsApp pour une réponse rapide et instantanée
media.gallery_badge|Galerie SIB
media.gallery_title|SIB en Images
media.gallery_desc|Découvrez l\
media.view_gallery|Voir toute la galerie
partners.catalog_label|SIB 2026 \\u2022 Catalogue Sponsors
partners.page_title|Sponsors
partners.page_subtitle|Découvrez les organisations et institutions qui soutiennent l\
partners.leaders_count|sponsors stratégiques \\u00e0 découvrir.
partners.search_placeholder|Chercher un sponsor
partners.filters|Filtres
partners.sort_by|Trier par:
partners.sort_name|Nom
partners.sort_sector|Secteur
partners.sort_type|Type
partners.sort_country|Pays
partners.export|Exporter
partners.no_results|Aucun sponsor trouvé pour votre recherche
partners.clear_filters|Effacer les filtres
partners.total|Total Sponsors
partners.institutional|Institutionnel
partners.verified_only|Vérifiés uniquement
partners.featured_only|En vedette uniquement
partners.export_limit|Limite d\
partners.export_error|Erreur lors de l\
partners.country|Pays
accommodation.dist.2km|À 2 km
accommodation.dist.2.5km|À 2,5 km
accommodation.dist.3km|À 3 km
accommodation.dist.4km|À 4 km
accommodation.dist.5km|À 5 km
accommodation.dist.6km|À 6 km
accommodation.hotel.ibis.desc|Hôtel Ibis - Hôtel économique avec excellent service
accommodation.hotel.mazagan.desc|Resort Mazagan Beach - Resort de luxe 5 étoiles
accommodation.hotel.provence.desc|Hôtel Provence - Hôtel 4 étoiles près du centre des congrès
accommodation.hotel.pullman.desc|Hôtel Pullman - Hôtel international 4 étoiles
accommodation.hotel.royal.desc|Hôtel Royal - Hôtel 3 étoiles avec bonnes installations
accommodation.hotel.suisse.desc|Hôtel Suisse - Hôtel 4 étoiles en centre-ville
accommodation.room.deluxe_double|Chambre Deluxe Double
accommodation.room.deluxe_single|Chambre Deluxe Simple
accommodation.room.garden_pool_double|Chambre Double Vue Jardin et Piscine
accommodation.room.garden_pool_single|Chambre Simple Vue Jardin et Piscine
accommodation.room.suite_full_ocean|Suite Vue Complète Océan
accommodation.room.suite_junior_double|Junior Suite Double
accommodation.room.suite_junior_single|Junior Suite Simple
accommodation.room.suite_partial_ocean|Suite Vue Partielle Océan
badge.badge_downloaded|Badge téléchargé
badge.badge_generated_success|Badge généré avec succès
badge.comment|Commentaire
badge.download_error|Erreur de téléchargement
badge.download_print_info|Téléchargez ou imprimez votre badge d\
badge.download_png|Télécharger PNG
badge.error_generating|Erreur lors de la génération du badge
badge.error_loading|Erreur lors du chargement du badge
badge.generate_badge_info|Générez votre badge d\
badge.generate_my_badge|Générer mon badge
badge.generating|Génération du badge en cours...
badge.instruction_1|Cliquez ci-dessous pour générer votre badge
badge.instruction_1_desc|Votre badge d\
badge.instruction_2|Téléchargez ou imprimez votre badge
badge.instruction_2_desc|Vous pouvez télécharger en PNG ou imprimer directement
badge.instruction_3|Montrez votre badge à l\
badge.instruction_3_desc|Présentez votre badge pour accéder à l\
badge.instruction_4|Gardez votre badge avec vous
badge.instruction_4_desc|Montrez votre badge aux agents de sécurité ou aux stands sponsors
badge.last_scan|Dernier scan
badge.login_required|Connexion requise
badge.must_login_badge|Vous devez être connecté pour générer votre badge
badge.my_access_badge|Mon badge d\
badge.print.camera_activated|Caméra activée
badge.print.error_camera|Erreur caméra - veuillez autoriser l\
badge.print.error_printing|Erreur lors de l\
badge.print.generated|Badge imprimé
badge.print.sent|Badge envoyé à l\
badge.regenerating|Régénération du badge en cours...
badge.scanner.activated|Scanner activé
badge.scanner.deactivated|Scanner désactivé
badge.scanner.error_camera|Erreur caméra
badge.scanner.error_lead|Erreur de capture de lead
badge.scanner.error_processing|Erreur lors du traitement du scan
badge.scanner.error_start|Erreur au démarrage du scanner
badge.scanner.error_stats|Erreur lors du chargement des statistiques
badge.scanner.error_stop|Erreur à l\
badge.scanner.error_validate|Erreur de validation
badge.scanner.error_validation|Erreur de validation du badge
badge.scanner.expired|Badge expiré
badge.scanner.inactive|Badge inactif
badge.scanner.invalid|Badge invalide
badge.scans_done|Scans terminés
badge.stand_number|Numéro de stand
badge.statistics|Statistiques
badge.usage_instructions|Comment utiliser votre badge
badge.valid_from|Valide à partir de
badge.vip_advantage_1|Entrée prioritaire à l\
badge.vip_advantage_2|Accès au salon VIP et aux zones spéciales
badge.vip_advantage_3|Opportunités de réseautage exclusives
badge.vip_advantages|Avantages VIP
common.bookmarked_add|Ajouter aux favoris
common.bookmarked_remove|Retirer des favoris
common.comment|Commentaire
common.comments|Commentaires
common.generating_pdf|Génération du PDF...
common.like|Aimer
common.loading_article|Chargement de l\
common.newsletter_placeholder|Entrez votre adresse e-mail
common.newsletter_subscribe|S\
common.newsletter_subtitle|Recevez les dernières nouvelles et mises à jour sur SIB
common.newsletter_title|Abonnement à la newsletter
common.related_articles|Articles connexes
common.share_link_copied|Lien copié dans le presse-papiers
common.share_link_error|Erreur lors de la copie du lien
common.source|Source
common.views|Vues
exhibitors.count|exposants
minisite.list.subtitle|Explorez les mini-sites de nos exposants et sponsors
minisite.list.title|Mini-sites
minisite.search.no_match|Aucun mini-site ne correspond à votre recherche
minisite.search.no_sites_yet|Aucun mini-site disponible pour le moment
minisite.search.not_found|Mini-site non trouvé
minisite.search.placeholder|Chercher des mini-sites...
navigation.news|Actualités
payment.paypalCaptureErrorToast|Erreur de paiement PayPal. Veuillez réessayer.
actions.open|Ouvrir
admin.all_categories|Toutes les catégories
admin.create_first_article|Créer votre premier article
admin.featured|À l\
admin.no_articles_criteria|Aucun article ne correspond aux critères sélectionnés
admin.no_articles_found|Aucun article trouvé
admin.platform_statistics|Statistiques de la plateforme
appointments.no_appointments_date|Aucun rendez-vous prévu pour cette date
auth.bio|Biographie
auth.bio_placeholder|Parlez-nous de vous
auth.company_placeholder|Nom de votre entreprise
auth.country|Pays
auth.login_required|Connexion requise
auth.phone|Téléphone
auth.please_login|Veuillez vous connecter pour continuer
auth.premium_required|Accès Premium requis
badge.access_badge|Accéder à votre badge
badge.authorized_zones|Zones autorisées
badge.automatic_rotation|Rotation automatique
badge.loading_badge|Chargement de votre badge...
badge.max_security|Sécurité maximale
badge.regenerate_qr|Régénérer le code QR
badge.secure_qr_jwt|Jeton JWT sécurisé
badge.security_info|Informations de sécurité
badge.total_access|Accès complet
badge.unknown_level|Niveau d\
calendar.add_new_slot|Ajouter un créneau
calendar.available_spots|Places disponibles
calendar.create_first_slot|Créer votre premier créneau
calendar.default_location|Lieu par défaut
calendar.event_days_description|Consultez la disponibilité sur tous les jours de l\
calendar.grid_view|Vue grille
calendar.list_view|Vue liste
calendar.no_availability_message|Aucune disponibilité programmée
calendar.no_slots|Aucun créneau disponible
calendar.no_slots_configured|Aucun créneau configuré
calendar.plan_availability|Planifiez votre disponibilité
calendar.this_week|Cette semaine
calendar.title|Calendrier de disponibilité
calendar.total_slots|Nombre total de créneaux
common.b2b_meetings|Réunions B2B
common.back_home|Retour à l\
common.categories|Catégories
common.close_error|Fermer l\
common.complete_dashboard|Tableau de bord complet
common.load_more|Charger plus
common.networking|Networking
common.not_verified|Non vérifié
common.public_conferences|Conférences publiques
common.unlimited|Illimité
common.update_success|Mise à jour effectuée avec succès
common.updated|Mis à jour
common.upgrade|Passer à une version supérieure
common.view_all|Voir tous
common.vip_zones|Zones VIP
countdown.add_to_calendar|Ajouter au calendrier
countdown.address|Adresse
countdown.calendar_added|Ajouté à votre calendrier
countdown.calendar_description|Rappel d\
countdown.conferences|Conférences
countdown.contact_hours|Heures de contact
countdown.contact_org|Organisation à contacter
countdown.copied_clipboard|Copié dans le presse-papiers
countdown.copy_failed|Copie échouée
countdown.countries|Pays
countdown.day|Jour
countdown.day1_networking|Networking d\
countdown.day1_opening|Ouverture officielle
countdown.day1_plenary|Séance plénière
countdown.day1_title|Jour 1 : Ouverture et networking
countdown.day2_b2b|Réunions B2B
countdown.day2_demos|Démonstrations en direct
countdown.day2_title|Jour 2 : B2B et ateliers
countdown.day2_workshops|Ateliers
countdown.day3_awards|Cérémonie des prix
countdown.day3_closing|Séance de clôture
countdown.day3_roundtables|Tables rondes
countdown.day3_title|Jour 3 : Clôture et prix
countdown.days_plural|Jours
countdown.event_address|Adresse de l\
countdown.event_started|L\
countdown.event_welcome|Bienvenue à SIB 2026
countdown.exhibitors|Exposants
countdown.hour|Heure
countdown.info_catering|Informations de restauration
countdown.info_parking|Informations de stationnement
countdown.info_registration|Détails de l\
countdown.info_shuttles|Services de navette
countdown.info_wifi|Accès WiFi
countdown.key_figures|Chiffres clés
countdown.location_access|Lieu et accès
countdown.minute|Minute
countdown.months|Mois
countdown.opening_in|Ouverture dans
countdown.practical_info|Informations pratiques
countdown.program_3days|Programme sur 5 jours
countdown.reminder_set|Rappel défini
countdown.schedule|Calendrier
countdown.second|Seconde
countdown.set_reminder|Définir un rappel
countdown.share_countdown|Partager le décompte
countdown.share_title|Partager SIB 2026
countdown.venue|Lieu
countdown.visitors|Visiteurs
countdown.weeks|Semaines
dashboard.appointments|Rendez-vous
dashboard.bio_help|Aide sur la biographie
dashboard.completion_help|Aide sur la complétude du profil
dashboard.completion_score|Score de complétude du profil
dashboard.contacts|Contacts
dashboard.event_goals|Objectifs d\
dashboard.login_to_see_stats|Connectez-vous pour voir vos statistiques
dashboard.minisite_views|Vues du minisite
dashboard.partnership_types|Types de partenariat
dashboard.products|Produits
dashboard.profile_tips|Conseils pour le profil
dashboard.profile_views|Vues du profil
dashboard.visibility|Visibilité
dashboard.why_complete|Pourquoi compléter votre profil ?
error.auto_generation|Erreur de génération automatique
error.generic|Une erreur s\
error.recommendation|Erreur de recommandation
errors.back_to_home|Retour à l\
errors.error_message|Message d\
errors.oops|Oups !
errors.reload_page|Recharger la page
errors.unexpected_error|Une erreur inattendue s\
errors.view_stack_trace|Voir les détails
exhibitors.company_info|Informations sur l\
exhibitors.company_size|Taille de l\
form.activity_sector|Secteur d\
form.confirm_and_send|Confirmer et envoyer
form.contact_information|Coordonnées
form.country|Pays
form.description|Description
form.edit_information|Modifier les informations
form.email|Email
form.ensure_correct_before_submit|Veuillez vérifier que toutes les informations sont correctes avant de soumettre
form.error.generic|Erreur lors de la soumission du formulaire
form.full_name|Nom complet
form.organization_information|Informations sur l\
form.organization_name|Nom de l\
form.partnership_type|Type de partenariat
form.phone|Téléphone
form.position|Poste
form.request_review_warning|Votre soumission sera examinée par notre équipe
form.sending|Envoi en cours...
form.status.saving|Enregistrement de vos modifications...
form.success.updated|Vos informations ont été mises à jour
form.verify_information|Vérifiez vos informations
form.website|Site web
matching.form.collaboration_types|Types de collaboration
matching.form.goals|Vos objectifs
matching.form.interests|Vos intérêts
matching.form.save|Enregistrer les préférences
matching.form.sectors|Vos secteurs
matching.results.contact|Contacter cette personne
matching.subtitle|Recommandations de networking IA
matching.title|Matching de networking
media.action.listen_now|Écouter maintenant
media.capsule.added_to_favorites|Ajouté aux favoris
media.capsule.link_copied|Lien copié
media.capsule.not_found|Contenu multimédia non trouvé
media.capsule.save|Enregistrer
media.capsule.saved|Enregistré
media.detail.views|vues
media.error.loading_capsule|Erreur lors du chargement du contenu multimédia
media.filter.all_categories|Toutes les catégories
media.info.audio_unavailable|Audio actuellement indisponible
media.info.try_filter|Essayez d\
media.podcast.featured_episode|Épisode en vedette
media.podcast.no_results|Aucun podcast trouvé
media.podcast.page_subtitle|Écoutez les perspectives d\
media.podcast.page_title|Podcasts
media.podcast.search_placeholder|Rechercher des podcasts...
media.stats.hours|heures
media.stats.listening|Temps d\
media.stats.listens|Écoutes
media.stats.total_episodes|Nombre total d\
media.testimonial.no_results|Aucun témoignage trouvé
media.testimonial.no_results_desc|Soyez le premier à partager votre expérience
media.testimonial.satisfaction|Taux de satisfaction
media.testimonial.search_placeholder|Rechercher des témoignages...
media.testimonial.subtitle|Entendez des visiteurs et des exposants
media.testimonial.title|Témoignages
minisite.ai_info|Laissez l\
minisite.ai_unavailable|La génération IA est temporairement indisponible
minisite.auto_creation_title|Générer votre minisite automatiquement
minisite.auto_generate_button|Générer avec IA
minisite.back_to_dashboard|Retour au tableau de bord
minisite.button_next|Suivant
minisite.button_previous|Précédent
minisite.create.title|Créer votre minisite
minisite.creation_error|Erreur lors de la création du minisite
minisite.default_company|Nom de l\
minisite.delete_image|Supprimer l\
minisite.editor.add_section|Ajouter une section
minisite.editor.click_to_edit|Cliquez pour modifier
minisite.editor.customize|Personnalisez votre minisite
minisite.editor.empty_state|Aucun contenu ajouté
minisite.error_title|Erreur de création du minisite
minisite.generate_button|Générer un minisite
minisite.generating|Génération de votre minisite...
minisite.generating_auto|Génération avec IA...
minisite.hero.cta_placeholder|Texte du bouton d\
minisite.hero.tips.cta|Utilisez un appel à l\
minisite.hero.tips.image|Utilisez une image de haute qualité qui représente votre entreprise
minisite.invalid_url|Format d\
minisite.login_required|Connexion requise pour créer un minisite
minisite.manual_alternative|Ou créer manuellement
minisite.page.create_subtitle|Choisissez comment vous souhaitez créer votre minisite
minisite.page.create_title|Créer votre minisite
minisite.page.scratch_desc|Construire à partir de zéro avec personnalisation complète
